aren't,are not
Aren't,Are not
can't,cannot
Can't,Cannot
couldn't,could not
Couldn't,Could not
didn't,did not
Didn't,Did not
doesn't,does not
Doesn't,Does not
don't,do not
Don't,Do not
hadn't,had not
Hadn't,Had not
hasn't,has not
Hasn't,Has not
haven't,have not
Haven't,Have not
he'd,he would
He'd,He would
he'll,he will
He'll,He will
he's,he has
He's,He has
i'd,I would
I'd,I would
i'll,I will
I'll,I will
i'm,I am
I'm,I am
i've,I have
I've,I have
isn't,is not
Isn't,Is not
it's,it is
It's,It is
let's,let us
Let's,Let us
mightn't,might not
Mightn't,Might not
mustn't,must not
Mustn't,Must not
shan't,shall not
Shan't,Shall not
she'd,she would
She'd,She would
she'll,she will
She'll,She will
she's,she has
She's,She has
shouldn't,should not
Shouldn't,Should not
should've,should have
Should've,Should have
that's,that is
That's,That is
there's,there is
There's,There is
they'd,they would
They'd,They would
they'll,they will
They'll,They will
they're,they are
They're,They are
they've,they have
They've,They have
we'd,we would
We'd,We would
we're,we are
We're,We are
we've,we have
We've,We have
weren't,were not
Weren't,Were not
what'll,what will
What'll,What will
what're,what are
What're,What are
what's,what is
What's,What is
what've,what have
What've,What have
where's,where is
Where's,Where is
who'd,who would
Who'd,Who would
who'll,who will
Who'll,Who will
who's,who is
Who's,Who is
who've,who have
Who've,Who have
won't,will not
Won't,Will not
wouldn't,would not
Wouldn't,Would not
you'd,you would
You'd,You would
you'll,you will
You'll,You will
you're,you are
You're,You are
you've,you have
You've,You have
